id bigserial;origen_libro_id;origen_capitulo;origen_versiculo;destino_libro_id;destino_capitulo;destino_versiculo;llave_unica text
;41;10;31;40;19;30;41_10_31_40_19_30
;41;10;31;40;20;16;41_10_31_40_20_16
;41;10;31;40;21;31;41_10_31_40_21_31
;41;10;31;40;8;11;41_10_31_40_8_11
;41;10;31;40;8;12;41_10_31_40_8_12
;41;10;31;42;13;30;41_10_31_42_13_30
;41;10;31;42;18;11;41_10_31_42_18_11
;41;10;31;42;18;14;41_10_31_42_18_14
;41;10;31;42;7;29;41_10_31_42_7_29
;41;10;31;42;7;30;41_10_31_42_7_30
;41;10;31;42;7;40;41_10_31_42_7_40
;41;10;31;42;7;47;41_10_31_42_7_47
;41;10;31;44;13;46;41_10_31_44_13_46
;41;10;31;44;13;48;41_10_31_44_13_48
;41;10;31;45;9;30;41_10_31_45_9_30
;41;10;31;45;9;33;41_10_31_45_9_33
;41;10;32;38;3;8;41_10_32_38_3_8
;41;10;32;40;11;25;41_10_32_40_11_25
;41;10;32;40;13;11;41_10_32_40_13_11
;41;10;32;40;20;17;41_10_32_40_20_17
;41;10;32;40;20;19;41_10_32_40_20_19
;41;10;32;41;4;34;41_10_32_41_4_34
;41;10;32;42;10;23;41_10_32_42_10_23
;41;10;32;42;18;31;41_10_32_42_18_31
;41;10;32;42;18;34;41_10_32_42_18_34
;41;10;32;42;9;51;41_10_32_42_9_51
;41;10;32;43;11;16;41_10_32_43_11_16
;41;10;32;43;11;8;41_10_32_43_11_8
;41;10;33;40;16;21;41_10_33_40_16_21
;41;10;33;40;17;22;41_10_33_40_17_22
;41;10;33;40;17;23;41_10_33_40_17_23
;41;10;33;40;20;17;41_10_33_40_20_17
;41;10;33;40;20;19;41_10_33_40_20_19
;41;10;33;40;26;66;41_10_33_40_26_66
;41;10;33;40;27;2;41_10_33_40_27_2
;41;10;33;41;14;64;41_10_33_41_14_64
;41;10;33;41;15;1;41_10_33_41_15_1
;41;10;33;41;8;31;41_10_33_41_8_31
;41;10;33;41;9;31;41_10_33_41_9_31
;41;10;33;42;18;31;41_10_33_42_18_31
